week_start,units_tested,units_failed,p,centre,ucl,lcl,beyond_limits,run_rule,phase
2024-06-17,415,5,0.01205,0.0272,0.05115,0.00324,False,False,Baseline
2024-06-24,447,11,0.02461,0.0272,0.05028,0.00412,False,False,Baseline
2024-07-01,409,5,0.01222,0.0272,0.05133,0.00307,False,False,Baseline
2024-07-08,412,7,0.01699,0.0272,0.05124,0.00316,False,False,Baseline
2024-07-15,416,14,0.03365,0.0272,0.05112,0.00327,False,False,Baseline
2024-07-22,411,12,0.0292,0.0272,0.05127,0.00313,False,False,Baseline
2024-07-29,411,12,0.0292,0.0272,0.05127,0.00313,False,False,Baseline
2024-08-05,453,16,0.03532,0.0272,0.05012,0.00427,False,False,Baseline
2024-08-12,440,10,0.02273,0.0272,0.05046,0.00393,False,False,Baseline
2024-08-19,441,12,0.02721,0.0272,0.05043,0.00396,False,False,Baseline
2024-08-26,439,13,0.02961,0.0272,0.05049,0.00391,False,False,Baseline
2024-09-02,402,9,0.02239,0.0272,0.05154,0.00286,False,False,Baseline
2024-09-09,399,15,0.03759,0.0272,0.05163,0.00277,False,False,Baseline
2024-09-16,424,9,0.02123,0.0272,0.0509,0.0035,False,False,Baseline
2024-09-23,467,19,0.04069,0.0272,0.04978,0.00462,False,False,Baseline
2024-09-30,421,15,0.03563,0.0272,0.05098,0.00341,False,False,Baseline
2024-10-07,435,10,0.02299,0.0272,0.05059,0.0038,False,False,Baseline
2024-10-14,448,16,0.03571,0.0272,0.05025,0.00414,False,False,Baseline
2024-10-21,381,10,0.02625,0.0272,0.0522,0.0022,False,False,Baseline
2024-10-28,467,15,0.03212,0.0272,0.04978,0.00462,False,False,Baseline
2024-11-04,431,12,0.02784,0.0272,0.0507,0.00369,False,False,Baseline
2024-11-11,414,5,0.01208,0.0272,0.05118,0.00321,False,False,Baseline
2024-11-18,443,12,0.02709,0.0272,0.05038,0.00401,False,False,Baseline
2024-11-25,419,12,0.02864,0.0272,0.05104,0.00336,False,False,Baseline
2024-12-02,418,11,0.02632,0.0272,0.05106,0.00333,False,False,Baseline
2024-12-09,399,9,0.02256,0.0272,0.05163,0.00277,False,False,Baseline
2024-12-16,437,13,0.02975,0.0272,0.05054,0.00385,False,False,Baseline
2024-12-23,391,12,0.03069,0.0272,0.05188,0.00252,False,False,Baseline
2024-12-30,448,16,0.03571,0.0272,0.05025,0.00414,False,False,Baseline
2025-01-06,372,4,0.01075,0.0272,0.0525,0.0019,False,False,Monitoring
2025-01-13,404,7,0.01733,0.0272,0.05147,0.00292,False,False,Monitoring
2025-01-20,424,11,0.02594,0.0272,0.0509,0.0035,False,False,Monitoring
2025-01-27,397,4,0.01008,0.0272,0.05169,0.00271,False,False,Monitoring
2025-02-03,408,10,0.02451,0.0272,0.05136,0.00304,False,False,Monitoring
2025-02-10,441,12,0.02721,0.0272,0.05043,0.00396,False,False,Monitoring
2025-02-17,400,5,0.0125,0.0272,0.0516,0.0028,False,False,Monitoring
2025-02-24,445,10,0.02247,0.0272,0.05033,0.00407,False,False,Monitoring
2025-03-03,409,11,0.02689,0.0272,0.05133,0.00307,False,False,Monitoring
2025-03-10,439,15,0.03417,0.0272,0.05049,0.00391,False,False,Monitoring
2025-03-17,439,13,0.02961,0.0272,0.05049,0.00391,False,False,Monitoring
2025-03-24,448,12,0.02679,0.0272,0.05025,0.00414,False,False,Monitoring
2025-03-31,428,7,0.01636,0.0272,0.05078,0.00361,False,False,Monitoring
2025-04-07,430,14,0.03256,0.0272,0.05073,0.00367,False,False,Monitoring
2025-04-14,440,13,0.02955,0.0272,0.05046,0.00393,False,False,Monitoring
2025-04-21,446,8,0.01794,0.0272,0.0503,0.00409,False,False,Monitoring
2025-04-28,402,15,0.03731,0.0272,0.05154,0.00286,False,False,Monitoring
2025-05-05,413,10,0.02421,0.0272,0.05121,0.00319,False,False,Monitoring
2025-05-12,429,10,0.02331,0.0272,0.05076,0.00364,False,False,Monitoring
2025-05-19,394,13,0.03299,0.0272,0.05178,0.00261,False,False,Monitoring
2025-05-26,413,10,0.02421,0.0272,0.05121,0.00319,False,False,Monitoring
2025-06-02,402,19,0.04726,0.0272,0.05154,0.00286,False,False,Monitoring
2025-06-09,417,25,0.05995,0.0272,0.05109,0.0033,True,False,Monitoring
2025-06-16,425,16,0.03765,0.0272,0.05087,0.00353,False,False,Monitoring
2025-06-23,437,18,0.04119,0.0272,0.05054,0.00385,False,False,Monitoring
2025-06-30,393,26,0.06616,0.0272,0.05181,0.00258,True,False,Monitoring
2025-07-07,406,25,0.06158,0.0272,0.05141,0.00298,True,False,Monitoring
2025-07-14,427,21,0.04918,0.0272,0.05081,0.00358,False,False,Monitoring
2025-07-21,448,11,0.02455,0.0272,0.05025,0.00414,False,False,Monitoring
2025-07-28,388,10,0.02577,0.0272,0.05197,0.00242,False,False,Monitoring
2025-08-04,442,8,0.0181,0.0272,0.05041,0.00399,False,False,Monitoring
2025-08-11,380,10,0.02632,0.0272,0.05223,0.00216,False,False,Monitoring
2025-08-18,400,8,0.02,0.0272,0.0516,0.0028,False,False,Monitoring
2025-08-25,393,11,0.02799,0.0272,0.05181,0.00258,False,False,Monitoring
2025-09-01,429,18,0.04196,0.0272,0.05076,0.00364,False,False,Monitoring
2025-09-08,461,12,0.02603,0.0272,0.04992,0.00447,False,False,Monitoring
2025-09-15,414,6,0.01449,0.0272,0.05118,0.00321,False,False,Monitoring
2025-09-22,436,11,0.02523,0.0272,0.05057,0.00383,False,False,Monitoring
2025-09-29,417,8,0.01918,0.0272,0.05109,0.0033,False,False,Monitoring
2025-10-06,422,9,0.02133,0.0272,0.05095,0.00344,False,False,Monitoring
2025-10-13,434,12,0.02765,0.0272,0.05062,0.00377,False,False,Monitoring
2025-10-20,455,6,0.01319,0.0272,0.05007,0.00432,False,False,Monitoring
2025-10-27,395,11,0.02785,0.0272,0.05175,0.00264,False,False,Monitoring
2025-11-03,455,6,0.01319,0.0272,0.05007,0.00432,False,False,Monitoring
2025-11-10,398,8,0.0201,0.0272,0.05166,0.00274,False,False,Monitoring
2025-11-17,436,13,0.02982,0.0272,0.05057,0.00383,False,False,Monitoring
2025-11-24,402,4,0.00995,0.0272,0.05154,0.00286,False,False,Monitoring
2025-12-01,418,7,0.01675,0.0272,0.05106,0.00333,False,False,Monitoring
2025-12-08,409,8,0.01956,0.0272,0.05133,0.00307,False,False,Monitoring
2025-12-15,449,7,0.01559,0.0272,0.05023,0.00417,False,False,Monitoring
2025-12-22,414,5,0.01208,0.0272,0.05118,0.00321,False,False,Monitoring
2025-12-29,392,11,0.02806,0.0272,0.05184,0.00255,False,False,Monitoring
