capa_id,nc_id,opened_date,due_date,closed_date,root_cause_category,effectiveness_check_date,effective,description
CAPA-0030,NC-00149,2024-05-21,2024-06-20,2024-09-13,Material / supplier,2024-12-12,Yes,
CAPA-0031,NC-00151,2024-05-22,2024-07-21,2024-10-05,Material / supplier,2025-01-03,Yes,
CAPA-0032,NC-00157,2024-05-25,2024-07-24,2024-07-17,Material / supplier,2024-10-15,Yes,
CAPA-0033,NC-00156,2024-05-27,2024-07-26,2024-06-20,Machine / equipment,2024-09-18,Yes,
CAPA-0034,NC-00160,2024-05-27,2024-06-26,2024-07-24,Procedure / method,2024-10-22,Yes,
CAPA-0035,NC-00161,2024-06-01,2024-07-31,2024-07-18,Machine / equipment,2024-10-16,Yes,
CAPA-0036,NC-00166,2024-06-01,2024-07-31,2024-09-05,Machine / equipment,2024-12-04,Yes,
CAPA-0037,NC-00165,2024-06-05,2024-08-04,2024-09-05,Procedure / method,2024-12-04,Yes,
CAPA-0038,NC-00169,2024-06-05,2024-08-04,2024-06-30,Training / human error,2024-09-28,Yes,
CAPA-0039,NC-00171,2024-06-10,2024-08-09,2024-06-29,Material / supplier,2024-09-27,No,
CAPA-0040,NC-00175,2024-06-12,2024-07-12,2024-06-30,Machine / equipment,2024-09-28,Yes,
CAPA-0041,NC-00194,2024-06-28,2024-08-27,2024-08-05,Material / supplier,2024-11-03,Yes,
CAPA-0042,NC-00203,2024-07-06,2024-09-04,2024-08-06,Material / supplier,2024-11-04,Yes,
CAPA-0043,NC-00201,2024-07-09,2024-09-07,2024-09-10,Machine / equipment,2024-12-09,Yes,
CAPA-0044,NC-00204,2024-07-09,2024-09-07,2024-08-21,Machine / equipment,2024-11-19,Yes,
CAPA-0045,NC-00222,2024-07-26,2024-09-24,2024-09-12,Material / supplier,2024-12-11,Yes,
CAPA-0046,NC-00225,2024-08-02,2024-10-01,2024-09-19,Machine / equipment,2024-12-18,Yes,
CAPA-0047,NC-00228,2024-08-06,2024-09-05,2024-10-04,Procedure / method,2025-01-02,Yes,
CAPA-0048,NC-00239,2024-08-17,2024-09-16,2024-10-12,Measurement,2025-01-10,Yes,
CAPA-0049,NC-00241,2024-08-17,2024-10-16,2024-11-05,Design,2025-02-03,Yes,
CAPA-0050,NC-00253,2024-08-22,2024-10-21,2024-10-08,Machine / equipment,2025-01-06,Yes,
CAPA-0051,NC-00246,2024-08-24,2024-10-23,2024-10-16,Material / supplier,2025-01-14,Yes,
CAPA-0052,NC-00255,2024-08-25,2024-10-24,2024-10-28,Material / supplier,2025-01-26,Yes,
CAPA-0053,NC-00268,2024-08-29,2024-09-28,2024-10-10,Material / supplier,2025-01-08,Yes,
CAPA-0054,NC-00259,2024-08-31,2024-10-30,2024-09-21,Material / supplier,2024-12-20,Yes,
CAPA-0055,NC-00265,2024-09-01,2024-10-31,2024-10-10,Material / supplier,2025-01-08,Yes,
CAPA-0056,NC-00276,2024-09-08,2024-10-08,2024-10-01,Material / supplier,2024-12-30,Yes,
CAPA-0057,NC-00277,2024-09-10,2024-11-09,2024-10-08,Material / supplier,2025-01-06,Yes,
CAPA-0058,NC-00283,2024-09-14,2024-11-13,2024-10-31,Procedure / method,2025-01-29,Yes,
CAPA-0059,NC-00281,2024-09-16,2024-11-15,2024-10-12,Training / human error,2025-01-10,No,
CAPA-0060,NC-00292,2024-09-22,2024-11-21,2024-12-22,Procedure / method,2025-03-22,Yes,
CAPA-0061,NC-00297,2024-09-23,2024-11-22,2024-10-30,Training / human error,2025-01-28,No,
CAPA-0062,NC-00298,2024-09-24,2024-10-24,2024-12-09,Material / supplier,2025-03-09,Yes,
CAPA-0063,NC-00305,2024-09-29,2024-11-28,2025-01-03,Material / supplier,2025-04-03,Yes,
CAPA-0064,NC-00306,2024-10-02,2024-12-01,2024-10-22,Machine / equipment,2025-01-20,Yes,
CAPA-0065,NC-00324,2024-10-11,2024-12-10,2024-11-08,Material / supplier,2025-02-06,Yes,
CAPA-0066,NC-00321,2024-10-12,2024-11-11,2024-12-05,Procedure / method,2025-03-05,Yes,
CAPA-0067,NC-00320,2024-10-13,2024-12-12,2025-01-09,Training / human error,2025-04-09,No,
CAPA-0068,NC-00328,2024-10-16,2024-12-15,2024-11-18,Training / human error,2025-02-16,No,
CAPA-0069,NC-00326,2024-10-17,2024-12-16,2024-11-28,Material / supplier,2025-02-26,Yes,
CAPA-0070,NC-00336,2024-10-25,2024-12-24,2025-02-03,Machine / equipment,2025-05-04,Yes,
CAPA-0071,NC-00346,2024-10-26,2024-12-25,2025-01-07,Training / human error,2025-04-07,No,
CAPA-0072,NC-00344,2024-10-29,2024-12-28,2025-02-01,Machine / equipment,2025-05-02,No,
CAPA-0073,NC-00350,2024-10-31,2024-12-30,2025-01-01,Design,2025-04-01,Yes,
CAPA-0074,NC-00360,2024-11-04,2025-01-03,2024-12-21,Training / human error,2025-03-21,Yes,
CAPA-0075,NC-00361,2024-11-04,2025-01-03,2024-11-23,Training / human error,2025-02-21,Yes,
CAPA-0076,NC-00367,2024-11-14,2024-12-14,2024-12-11,Training / human error,2025-03-11,Yes,
CAPA-0077,NC-00365,2024-11-16,2025-01-15,2024-12-13,Training / human error,2025-03-13,Yes,
CAPA-0078,NC-00375,2024-11-26,2025-01-25,2025-03-25,Machine / equipment,2025-06-23,No,
CAPA-0079,NC-00385,2024-11-29,2025-01-28,2025-01-02,Training / human error,2025-04-02,Yes,
CAPA-0080,NC-00388,2024-12-08,2025-02-06,2024-12-31,Material / supplier,2025-03-31,Yes,
CAPA-0081,NC-00394,2024-12-10,2025-02-08,2025-01-04,Training / human error,2025-04-04,Yes,
CAPA-0082,NC-00409,2024-12-30,2025-01-29,2025-02-12,Procedure / method,2025-05-13,Yes,
CAPA-0083,NC-00416,2025-01-04,2025-03-05,2025-02-24,Material / supplier,2025-05-25,No,
CAPA-0084,NC-00421,2025-01-10,2025-03-11,2025-02-16,Training / human error,2025-05-17,No,
CAPA-0085,NC-00424,2025-01-11,2025-03-12,2025-01-29,Procedure / method,2025-04-29,No,
CAPA-0086,NC-00437,2025-01-17,2025-03-18,2025-03-16,Training / human error,2025-06-14,No,
CAPA-0087,NC-00435,2025-01-22,2025-03-23,2025-05-07,Measurement,2025-08-05,Yes,
CAPA-0088,NC-00442,2025-01-23,2025-03-24,2025-03-23,Material / supplier,2025-06-21,Yes,
CAPA-0089,NC-00441,2025-01-24,2025-03-25,2025-03-02,Procedure / method,2025-05-31,Yes,
CAPA-0090,NC-00448,2025-01-29,2025-02-28,2025-04-04,Procedure / method,2025-07-03,Yes,
CAPA-0091,NC-00449,2025-01-30,2025-03-31,2025-03-02,Machine / equipment,2025-05-31,Yes,
CAPA-0092,NC-00454,2025-02-07,2025-04-08,2025-03-25,Procedure / method,2025-06-23,Yes,
CAPA-0093,NC-00457,2025-02-07,2025-04-08,2025-04-25,Procedure / method,2025-07-24,Yes,
CAPA-0094,NC-00464,2025-02-12,2025-04-13,2025-04-10,Training / human error,2025-07-09,No,
CAPA-0095,NC-00475,2025-02-23,2025-04-24,2025-05-19,Machine / equipment,2025-08-17,Yes,
CAPA-0096,NC-00482,2025-02-26,2025-03-28,2025-03-21,Material / supplier,2025-06-19,No,
CAPA-0097,NC-00483,2025-02-26,2025-03-28,2025-03-16,Material / supplier,2025-06-14,Yes,
CAPA-0098,NC-00488,2025-02-27,2025-04-28,2025-04-03,Training / human error,2025-07-02,No,
CAPA-0099,NC-00489,2025-03-05,2025-05-04,2025-04-14,Procedure / method,2025-07-13,Yes,
CAPA-0100,NC-00496,2025-03-07,2025-04-06,2025-05-19,Material / supplier,2025-08-17,Yes,
CAPA-0101,NC-00493,2025-03-08,2025-05-07,2025-04-26,Material / supplier,2025-07-25,Yes,
CAPA-0102,NC-00514,2025-03-25,2025-04-24,2025-06-19,Procedure / method,2025-09-17,Yes,
CAPA-0103,NC-00516,2025-03-29,2025-05-28,2025-12-09,Material / supplier,,Pending,
CAPA-0104,NC-00524,2025-04-01,2025-05-31,2025-07-27,Material / supplier,2025-10-25,No,
CAPA-0105,NC-00534,2025-04-10,2025-06-09,2025-05-30,Measurement,2025-08-28,No,
CAPA-0106,NC-00535,2025-04-13,2025-06-12,2025-05-11,Material / supplier,2025-08-09,Yes,
CAPA-0107,NC-00544,2025-04-18,2025-06-17,2025-08-07,Material / supplier,2025-11-05,Yes,
CAPA-0108,NC-00548,2025-04-20,2025-06-19,2025-06-29,Design,2025-09-27,Yes,
CAPA-0109,NC-00550,2025-04-22,2025-06-21,2025-07-01,Material / supplier,2025-09-29,Yes,
CAPA-0110,NC-00566,2025-05-11,2025-06-10,2025-07-16,Procedure / method,2025-10-14,Yes,
CAPA-0111,NC-00567,2025-05-14,2025-07-13,2025-06-25,Material / supplier,2025-09-23,Yes,
CAPA-0112,NC-00571,2025-05-22,2025-07-21,2025-08-31,Material / supplier,2025-11-29,Yes,
CAPA-0113,NC-00572,2025-05-23,2025-07-22,2025-07-25,Measurement,2025-10-23,Yes,
CAPA-0114,NC-00577,2025-05-23,2025-07-22,2025-08-06,Design,2025-11-04,Yes,
CAPA-0115,NC-00581,2025-05-27,2025-07-26,2025-07-24,Training / human error,2025-10-22,Yes,
CAPA-0116,NC-00585,2025-05-30,2025-07-29,2025-07-22,Material / supplier,2025-10-20,No,
CAPA-0117,NC-00583,2025-06-01,2025-07-31,2025-07-07,Material / supplier,2025-10-05,Yes,
CAPA-0118,NC-00599,2025-06-06,2025-08-05,2025-07-24,Procedure / method,2025-10-22,Yes,
CAPA-0119,NC-00598,2025-06-10,2025-08-09,2025-06-25,Material / supplier,2025-09-23,Yes,
CAPA-0120,NC-00610,2025-06-11,2025-08-10,2025-08-07,Material / supplier,2025-11-05,Yes,
CAPA-0121,NC-00600,2025-06-13,2025-08-12,2025-07-26,Material / supplier,2025-10-24,Yes,"Supplier S07 connector lot quarantined, crimp process audited at supplier, incoming inspection tightened"
CAPA-0122,NC-00605,2025-06-14,2025-08-13,2025-07-20,Material / supplier,2025-10-18,Yes,
CAPA-0123,NC-00616,2025-06-15,2025-08-14,2025-08-19,Material / supplier,2025-11-17,No,
CAPA-0124,NC-00607,2025-06-16,2025-08-15,2025-07-22,Material / supplier,2025-10-20,Yes,
CAPA-0125,NC-00615,2025-06-16,2025-07-16,2025-07-31,Material / supplier,2025-10-29,Yes,
CAPA-0126,NC-00622,2025-06-19,2025-08-18,2025-08-22,Material / supplier,2025-11-20,Yes,
CAPA-0127,NC-00641,2025-06-30,2025-08-29,2025-07-25,Material / supplier,2025-10-23,Yes,
CAPA-0128,NC-00639,2025-07-01,2025-08-30,2025-09-01,Material / supplier,2025-11-30,No,
CAPA-0129,NC-00645,2025-07-04,2025-09-02,2025-08-25,Material / supplier,2025-11-23,Yes,
CAPA-0130,NC-00648,2025-07-04,2025-09-02,2025-11-07,Material / supplier,,Pending,
CAPA-0131,NC-00644,2025-07-06,2025-09-04,2025-09-26,Material / supplier,2025-12-25,Yes,
CAPA-0132,NC-00651,2025-07-12,2025-09-10,2025-07-21,Material / supplier,2025-10-19,Yes,
CAPA-0133,NC-00661,2025-07-13,2025-09-11,2025-07-30,Material / supplier,2025-10-28,Yes,
CAPA-0134,NC-00665,2025-07-14,2025-09-12,2025-08-06,Machine / equipment,2025-11-04,Yes,
CAPA-0135,NC-00670,2025-07-21,2025-09-19,2025-10-30,Training / human error,,Pending,
CAPA-0136,NC-00676,2025-07-26,2025-09-24,2025-09-15,Material / supplier,2025-12-14,Yes,
CAPA-0137,NC-00678,2025-07-26,2025-09-24,2025-10-26,Procedure / method,,Pending,
CAPA-0138,NC-00701,2025-08-19,2025-10-18,,Measurement,,Pending,
CAPA-0139,NC-00710,2025-08-23,2025-10-22,2025-12-22,Procedure / method,,Pending,
CAPA-0140,NC-00711,2025-08-23,2025-10-22,2025-09-13,Machine / equipment,2025-12-12,Yes,
CAPA-0141,NC-00708,2025-08-26,2025-10-25,,Material / supplier,,Pending,
CAPA-0142,NC-00715,2025-08-26,2025-10-25,2025-10-10,Material / supplier,,Pending,
CAPA-0143,NC-00716,2025-08-29,2025-10-28,2025-09-20,Material / supplier,2025-12-19,Yes,
CAPA-0144,NC-00717,2025-09-01,2025-10-31,2025-10-27,Training / human error,,Pending,
CAPA-0145,NC-00718,2025-09-02,2025-11-01,2025-11-10,Material / supplier,,Pending,
CAPA-0146,NC-00735,2025-09-17,2025-11-16,2025-12-03,Training / human error,,Pending,
CAPA-0147,NC-00738,2025-09-20,2025-11-19,2025-11-12,Training / human error,,Pending,
CAPA-0148,NC-00739,2025-09-23,2025-11-22,2025-11-07,Training / human error,,Pending,
CAPA-0149,NC-00740,2025-09-28,2025-11-27,,Design,,Pending,
CAPA-0150,NC-00741,2025-09-29,2025-11-28,2025-11-22,Training / human error,,Pending,
CAPA-0151,NC-00747,2025-09-29,2025-10-29,2025-10-23,Material / supplier,,Pending,
CAPA-0152,NC-00755,2025-10-03,2025-12-02,2025-11-03,Design,,Pending,
CAPA-0153,NC-00760,2025-10-08,2025-12-07,2025-11-12,Training / human error,,Pending,
CAPA-0154,NC-00758,2025-10-10,2025-12-09,2025-11-13,Machine / equipment,,Pending,
CAPA-0155,NC-00765,2025-10-16,2025-12-15,2025-12-01,Machine / equipment,,Pending,
CAPA-0156,NC-00769,2025-10-16,2025-12-15,,Material / supplier,,Pending,
CAPA-0157,NC-00772,2025-10-21,2025-11-20,2025-12-25,Training / human error,,Pending,
CAPA-0158,NC-00779,2025-10-25,2025-12-24,2025-12-01,Training / human error,,Pending,
CAPA-0159,NC-00781,2025-10-25,2025-12-24,2025-12-24,Material / supplier,,Pending,
CAPA-0160,NC-00782,2025-11-02,2026-01-01,2025-12-27,Design,,Pending,
CAPA-0161,NC-00793,2025-11-06,2025-12-06,2025-12-06,Machine / equipment,,Pending,
CAPA-0162,NC-00792,2025-11-10,2026-01-09,2025-12-07,Machine / equipment,,Pending,
CAPA-0163,NC-00796,2025-11-13,2026-01-12,,Material / supplier,,Pending,
CAPA-0164,NC-00800,2025-11-14,2026-01-13,,Material / supplier,,Pending,
CAPA-0165,NC-00803,2025-11-18,2025-12-18,,Machine / equipment,,Pending,
CAPA-0166,NC-00806,2025-11-25,2025-12-25,,Procedure / method,,Pending,
CAPA-0167,NC-00811,2025-11-28,2025-12-28,2025-12-19,Material / supplier,,Pending,
CAPA-0168,NC-00815,2025-11-30,2026-01-29,,Training / human error,,Pending,
CAPA-0169,NC-00818,2025-11-30,2026-01-29,2025-12-27,Training / human error,,Pending,
CAPA-0170,NC-00827,2025-12-08,2026-01-07,,Design,,Pending,
CAPA-0171,NC-00831,2025-12-11,2026-02-09,,Material / supplier,,Pending,
CAPA-0172,NC-00830,2025-12-12,2026-01-11,,Material / supplier,,Pending,
CAPA-0173,NC-00833,2025-12-12,2026-01-11,,Machine / equipment,,Pending,
CAPA-0174,NC-00838,2025-12-17,2026-01-16,,Training / human error,,Pending,
CAPA-0175,NC-00842,2025-12-19,2026-02-17,,Procedure / method,,Pending,
CAPA-0176,NC-00849,2025-12-24,2026-02-22,,Training / human error,,Pending,
