finding_id,audit_id,audit_type,audit_date,standard,clause,clause_title,finding_type,closed_date
F-0053,SA-2025-1,Supplier,2025-04-24,ISO 13485:2016,8.3,Control of nonconforming product,Observation,2025-08-20
F-0054,SA-2025-1,Supplier,2025-04-24,ISO 13485:2016,8.3,Control of nonconforming product,Observation,2025-06-11
F-0055,SA-2025-1,Supplier,2025-04-24,ISO 13485:2016,7.4,Purchasing,Minor NC,2025-08-13
F-0056,SA-2025-1,Supplier,2025-04-24,ISO 13485:2016,7.6,Control of monitoring and measuring equipment,Observation,2025-05-27
F-0057,IA-2025-Q2,Internal,2025-06-11,ISO 13485:2016,8.2.2,Complaint handling,Minor NC,2025-08-10
F-0058,IA-2025-Q2,Internal,2025-06-11,ISO 13485:2016,7.6,Control of monitoring and measuring equipment,Minor NC,2025-09-21
F-0059,IA-2025-Q2,Internal,2025-06-11,ISO 13485:2016,6.2,Human resources,Minor NC,2025-07-09
F-0060,IA-2025-Q2,Internal,2025-06-11,ISO 13485:2016,7.4,Purchasing,Minor NC,2025-08-06
F-0061,SA-2025-2,Supplier,2025-08-20,ISO 13485:2016,7.6,Control of monitoring and measuring equipment,Observation,2025-12-12
F-0062,SA-2025-2,Supplier,2025-08-20,ISO 13485:2016,7.6,Control of monitoring and measuring equipment,Minor NC,2025-10-02
F-0063,SA-2025-2,Supplier,2025-08-20,ISO 13485:2016,7.6,Control of monitoring and measuring equipment,Major NC,2025-12-05
F-0064,SA-2025-2,Supplier,2025-08-20,ISO 13485:2016,7.6,Control of monitoring and measuring equipment,Observation,2025-10-07
F-0065,SA-2025-2,Supplier,2025-08-20,ISO 13485:2016,7.6,Control of monitoring and measuring equipment,Observation,2025-10-17
F-0066,SA-2025-2,Supplier,2025-08-20,ISO 13485:2016,7.4,Purchasing,Minor NC,2025-10-05
F-0067,SA-2025-2,Supplier,2025-08-20,ISO 13485:2016,8.3,Control of nonconforming product,Observation,2025-11-23
F-0068,IA-2025-Q3,Internal,2025-09-08,ISO 13485:2016,4.2.5,Control of records,Observation,2025-12-23
F-0069,IA-2025-Q3,Internal,2025-09-08,ISO 13485:2016,7.4,Purchasing,Observation,2025-12-06
F-0070,IA-2025-Q3,Internal,2025-09-08,ISO 13485:2016,8.5.2,Corrective action,Minor NC,2025-11-08
F-0071,IA-2025-Q3,Internal,2025-09-08,ISO 13485:2016,7.6,Control of monitoring and measuring equipment,Major NC,2025-11-12
F-0072,IA-2025-Q3,Internal,2025-09-08,ISO 13485:2016,8.5.2,Corrective action,Minor NC,2025-12-09
F-0073,IA-2025-Q3,Internal,2025-09-08,ISO 13485:2016,8.5.2,Corrective action,Observation,
F-0074,IA-2025-Q3,Internal,2025-09-08,ISO 13485:2016,8.5.2,Corrective action,Observation,2025-09-30
F-0075,IA-2025-Q3,Internal,2025-09-08,ISO 13485:2016,7.6,Control of monitoring and measuring equipment,Observation,2025-10-28
F-0076,CA-2025,Certification,2025-10-23,ISO 13485:2016,8.3,Control of nonconforming product,Minor NC,2025-11-26
F-0077,CA-2025,Certification,2025-10-23,ISO 13485:2016,7.6,Control of monitoring and measuring equipment,Minor NC,2025-12-14
F-0078,CA-2025,Certification,2025-10-23,ISO 13485:2016,8.5.2,Corrective action,Observation,2025-12-10
F-0079,CA-2025,Certification,2025-10-23,ISO 13485:2016,4.2.4,Control of documents,Observation,
F-0080,IA-2025-Q4,Internal,2025-11-14,ISO 13485:2016,8.2.4,Internal audit,Observation,2025-12-31
F-0081,IA-2025-Q4,Internal,2025-11-14,ISO 13485:2016,8.2.4,Internal audit,Minor NC,2025-12-30
F-0082,IA-2025-Q4,Internal,2025-11-14,ISO 13485:2016,8.5.2,Corrective action,Observation,
F-0083,IA-2025-Q4,Internal,2025-11-14,ISO 13485:2016,8.5.2,Corrective action,Observation,
F-0084,IA-2025-Q4,Internal,2025-11-14,ISO 13485:2016,4.2.5,Control of records,Minor NC,2025-12-09
F-0085,IA-2025-Q4,Internal,2025-11-14,ISO 13485:2016,8.3,Control of nonconforming product,Minor NC,2025-12-05
F-0086,IA-2025-Q4,Internal,2025-11-14,ISO 13485:2016,6.2,Human resources,Observation,2025-12-10
F-0087,IA-2025-Q4,Internal,2025-11-14,ISO 13485:2016,6.2,Human resources,Minor NC,
